,Agent Numer of Introducer,Agent_Number
41483,60000718,60045895
41484,60046628,60046666
41485,60068789,60069455
41487,60057383,60064922
41488,60067414,60070142
41489,60056671,60075621
41492,60037489,60037495
41494,60008669,60017347
41495,60017677,60018215
41496,60024426,60024863
41497,60033191,60033415
41499,60032349,60040228
41500,60008990,60010720
41502,60024368,60025627
41503,60050954,60050974
41505,60044540,60044770
41506,60039961,60055836
41507,60050740,60063359
41509,60027811,60028506
41511,60055502,60055974
41512,60051037,60056376
41513,60056655,60061438
41515,60024652,60025780
41516,60032937,60034269
41517,60039234,60040815
41518,60035214,60041578
41519,60057529,60057772
41520,60057799,60060294
41522,60058035,60068185
41523,60019254,60020348
41524,60056959,60062323
41525,60035937,60035938
41526,60029637,60062139
41529,60028335,60031641
41530,60027937,60040088
41531,60041787,60041879
41532,60028887,60040785
41533,60041817,60043766
41534,60048203,60049460
41535,60051401,60052277
41538,60046773,60051438
41539,60055279,60055937
41541,60031943,60032155
41542,60028838,60038714
41543,60047594,60047602
41544,60049943,60049949
41548,60016434,60045355
41549,60058281,60058289
41550,60000727,60065967
41554,60029347,60032316
41555,60052691,60062056
41556,60025570,60067839
41557,60075374,60075579
41558,60029082,60029130
41559,60057009,60058894
41560,60069133,60069129
41561,60062479,60074345
41565,60032649,60033519
41566,60028298,60035195
41567,60029082,60047830
41568,60047329,60051614
41569,60032748,60067624
41571,60035874,60034535
41572,60021374,60036255
41573,60045582,60046371
41574,60022199,60051775
41575,60054022,60054660
41576,60056352,60059126
41577,60065577,60065619
41578,60005252,60072082
41579,60046148,60050489
41582,60055966,60065509
41583,60067652,60069666
41585,60031088,60040658
41586,60026525,60045265
41589,60036065,60037331
41590,60029500,60037922
41591,60033403,60046078
41592,60068275,60068321
41593,60070603,60073230
41594,60020959,60021313
41596,60046600,60050527
41597,60051849,60053380
41598,60057859,60057944
41599,60061965,60063027
41600,60059816,60066605
41602,60050672,60051919
41603,60059707,60059741
41604,60059313,60059836
41605,60069291,60071877
41609,60024912,60024966
41613,60035024,60041056
41614,60056290,60063145
41619,60024202,60025359
41620,60037376,60040401
41621,60050524,60053237
41622,60045660,60063446
41623,60031088,60065550
41624,60015808,60035581
41625,60027253,60041881
41626,60037996,60050390
41627,60059313,60059443
41628,60025366,60028474
41629,60030374,60034587
41630,60016289,60044717
41631,60050434,60050498
41632,60021961,60021981
41633,60040709,60043567
41634,60051968,60051975
41635,60055292,60055294
41636,60072006,60074437
41637,60074552,60076106
41638,60019805,60026273
41639,60037370,60037528
41640,60038393,60044659
41641,60051314,60051628
41642,60052637,60053607
41643,60058552,60058860
41644,60021896,60024099
41645,60024073,60029887
41646,60037789,60039118
41650,60038542,60047567
41651,60028001,60033653
41652,60034183,60040388
41653,60059379,60059561
41654,60059306,60071669
41655,60020857,60020885
41657,60007806,60014193
41658,60013853,60018287
41659,60023200,60025200
41660,60035540,60035657
41661,60041860,60042860
41662,60059134,60062744
41663,60030655,60062822
41664,60032844,60032846
41665,60035536,60037882
41666,60059132,60062597
41667,60068358,60068384
41670,60055940,60062844
41671,60058035,60063301
41672,60015920,60015942
41674,60018465,60020188
41676,60051108,60052349
41679,60009477,60009698
41680,60049172,60049420
41681,60009913,60058543
41682,60056999,60074636
41684,60031440,60032922
41685,60040898,60044568
41686,60041803,60048426
41687,60026319,60057991
41688,60056271,60061146
41689,60000627,60001914
41692,60028094,60028622
41693,60041407,60049285
41694,60045623,60050852
41695,60052382,60054679
41697,60061024,60070775
41698,60045456,60047109
41699,60059358,60064195
41700,60059486,60066655
41701,60036831,60036913
41702,60037740,60041509
41703,60059072,60064827
41706,60033579,60040443
41707,60055932,60072204
41708,60073201,60073787
41709,60009335,60022836
41710,60023608,60024309
41713,60030519,60034983
41714,60043796,60045392
41715,60058851,60058872
41716,60056851,60073451
41717,60028333,60028344
41718,60024430,60034737
41719,60054453,60054981
41721,60045838,60047127
41722,60049685,60049700
41723,60049942,60049946
41724,60057082,60069088
41726,60026651,60032073
41727,60055229,60057722
41728,60056663,60063520
41729,60059803,60066041
41730,60049377,60049381
41731,60039378,60042049
41732,60058849,60065043
41734,60073830,60073449
41738,60046074,60049196
41739,60060229,60068611
41740,60070396,60071183
41741,60060165,60061370
41743,60024914,60029910
41744,60037485,60039097
41745,60046241,60046248
41746,60060059,60063583
41747,60059935,60067337
41748,60069869,60075519
41749,60053092,60059047
41750,60016780,60032330
41751,60046977,60049240
41752,60052646,60052995
41753,60056839,60070981
41754,60049777,60073317
41757,60053634,60058347
41758,60041071,60065201
41760,60021967,60022351
41761,60042411,60050158
41763,60051763,60051765
41764,60055983,60060075
41765,60055308,60066499
41766,60074587,60075518
41768,60058512,60058516
41769,60057190,60070353
41770,60060671,60073715
41772,60025363,60025371
41773,60055039,60056246
41776,60024400,60024601
41777,60023948,60026726
41778,60050854,60062048
41785,60026319,60027201
41786,60030654,60031711
41787,60029008,60040948
41788,60041513,60043148
41789,60055939,60060767
41790,60057880,60065402
41792,60014709,60017165
41794,60026274,60027219
41795,60030995,60038733
41796,60057796,60059591
41797,60062476,60073612
41798,60022658,60023354
41799,60027141,60037045
41800,60045369,60061866
41801,60014821,60017977
41802,60038365,60038376
41803,60033921,60042436
41804,60027661,60049515
41806,60049305,60053069
41807,60057626,60057627
41808,60071726,60074944
41811,60033583,60033762
41812,60033224,60045527
41813,60033846,60063314
41815,60018868,60018865
41816,60026703,60029741
41817,60032703,60032708
41818,60058973,60071024
41823,60025163,60042016
41824,60068803,60070465
41829,60005617,60030536
41830,60061011,60061440
41831,60073817,60075486
41832,60022937,60025689
41833,60037789,60049908
41836,60041994,60047042
41837,60024252,60064461
41838,60075164,60075392
41841,60027422,60032392
41842,60032311,60044388
41843,60044756,60046778
41844,60057400,60068939
41845,60070913,60075618
41848,60015811,60017528
41849,60023686,60028718
41850,60043799,60043825
41851,60046426,60050057
41852,60045028,60052331
41853,60054721,60055874
41856,60026105,60028227
41857,60029728,60029498
41858,60031421,60032830
41859,60042878,60050055
41862,60033451,60043563
41863,60045661,60053248
41864,60053508,60055343
41866,60023686,60024476
41867,60050017,60054618
41873,60021941,60024537
41874,60027639,60029652
41875,60030275,60054651
41876,60057383,60064920
41877,60070032,60070033
41878,60059148,60075675
41881,60023343,60025032
41882,60027822,60027824
41883,60030642,60037593
41884,60054127,60068271
41887,60024846,60028288
41888,60040137,60042843
41889,60027699,60064266
41890,60074475,60076027
41894,60042173,60051059
41895,60067461,60069763
41896,60014549,60014554
41897,60044885,60061869
41901,60022592,60022665
41902,60052952,60062042
41907,60023329,60024818
41908,60006298,60026151
41909,60040023,60045686
41911,60055405,60070290
41914,60044438,60044496
41915,60059796,60067422
41916,60024273,60008452
41920,60028425,60028427
41921,60031517,60034579
41923,60023122,60024743
41924,60030546,60031793
41925,60037584,60049023
41926,60055233,60064562
41927,60066840,60068034
41933,60025202,60025559
41934,60026252,60026253
41935,60028044,60028048
41936,60059745,60059766
41937,60058266,60061074
41938,60022785,60023098
41939,60042309,60048712
41940,60052538,60053966
41941,60055231,60062591
41942,60039807,60064414
41944,60011515,60012131
41946,60038045,60043068
41947,60053247,60053901
41948,60032273,60058218
41949,60041699,60065529
41950,60074704,60074747
41951,60069367,60075627
41953,60048204,60049477
41954,60054017,60054945
41955,60030537,60064443
41957,60045718,60051212
41958,60051038,60057481
41959,60018713,60018714
41960,60058436,60066852
41961,60068585,60069804
41962,60057191,60070300
41964,60027440,60027885
41965,60039604,60052829
41968,60027731,60028548
41969,60034698,60038430
41970,60059110,60067680
41971,60059174,60068177
41972,60068275,60068419
41976,60011671,60012727
41977,60026880,60026629
41978,60033993,60034000
41979,60041149,60042246
41980,60046772,60047487
41981,60068745,60073616
41982,60004723,60033224
41983,60054364,60055855
41984,60057045,60057317
41987,60024344,60024495
41988,60021241,60050154
41989,60036214,60046774
41990,60059777,60064794
41992,60025747,60030150
41993,60022792,60024490
41995,60037200,60040387
41996,60058297,60059351
41997,60059726,60063120
41998,60035209,60069659
42003,60033563,60041590
42004,60037571,60041862
42005,60019610,60046528
42006,60066162,60066376
42008,60031947,60032149
42009,60035252,60042308
42010,60038668,60054372
42011,60033209,60066589
42014,60054369,60054431
42015,60033425,60056369
42016,60059859,60059861
42017,60057519,60066058
42018,60038604,60039208
42019,60064674,60074507
42021,60036833,60036921
42023,60055816,60066659
42024,60057742,60069963
42026,60045854,60045875
42027,60032920,60053554
42029,60030537,60063762
42031,60038820,60038821
42032,60037558,60070115
42033,60068997,60070261
42035,60022838,60022872
42036,60048956,60050034
42037,60058788,60058836
42038,60059135,60059137
42039,60068275,60068426
42040,60068322,60068845
42045,60030179,60030383
42046,60070599,60070566
42047,60025026,60025028
42048,60035548,60035788
42049,60038958,60039937
42050,60055323,60055453
42051,60051072,60061024
42053,60047317,60049164
42054,60046469,60046964
42056,60029079,60029188
42057,60033415,60038385
42061,60026628,60030022
42062,60042779,60046712
42063,60049675,60054824
42064,60021221,60057752
42065,60069443,60070432
42067,60032371,60032379
42069,60041508,60053725
42070,60023655,60062897
42071,60009895,60010250
42072,60018747,60018767
42074,60044957,60045997
42077,60022199,60037226
42078,60024304,60038066
42079,60046415,60046416
42080,60060059,60063576
42081,60034670,60035474
42082,60032927,60035636
42083,60037231,60037257
42084,60031402,60040465
42085,60040261,60045230
42086,60043209,60047189
42087,60058497,60058499
42088,60065151,60065297
42089,60057635,60072086
42092,60024166,60040408
42093,60029811,60056329
42094,60068732,60068891
42096,60020661,60022226
42098,60037616,60042756
42099,60057520,60058373
42100,60058895,60069793
42104,60037571,60052683
42105,60026893,60028514
42106,60029308,60035410
42107,60033212,60037035
42108,60038933,60042637
42109,60029155,60045226
42110,60046720,60048301
42111,60018585,60063228
42112,60026498,60027906
42113,60032041,60032042
42114,60069291,60070929
42116,60026999,60034464
42117,60058295,60058302
42118,60068996,60069145
42119,60068813,60073319
42121,60038323,60038337
42122,60023343,60040015
42123,60036821,60065151
42125,60038661,60045491
42126,60046368,60057549
42127,60057593,60060762
42129,60022547,60026191
42130,60026644,60026718
42131,60028180,60034085
42132,60037687,60039061
42133,60039360,60039439
42134,60046681,60055377
42135,60055611,60063378
42136,60062476,60074380
42140,60035254,60036750
42141,60074155,60074713
42144,60021471,60024499
42145,60029788,60037626
42146,60053231,60054075
42149,60028828,60028834
42150,60037873,60049655
42151,60053001,60053041
42154,60054871,60059425
42155,60067039,60073135
42156,60020041,60021050
42157,60059113,60059114
42158,60059816,60070266
42161,60038518,60038946
42162,60038798,60042543
42163,60059147,60073933
42164,60071505,60074993
42165,60020777,60020778
42167,60027440,60036129
42168,60033714,60038905
42169,60039827,60041094
42170,60041544,60042939
42171,60046989,60047177
42172,60027633,60049014
42173,60042261,60060179
42174,60058932,60062430
42175,60030537,60063752
42176,60013117,60022934
42177,60036498,60036513
42178,60055279,60066743
42182,60033309,60033572
42183,60037922,60044347
42184,60070774,60070785
42186,60024166,60026452
42187,60030700,60038654
42188,60049809,60054640
42189,60015628,60023281
42190,60038392,60039425
42191,60038641,60040135
42192,60024423,60044851
42193,60056124,60056127
42195,60029249,60029314
42196,60018609,60035697
42198,60056310,60062541
42200,60033029,60038675
42201,60053685,60054253
42202,60055231,60064815
42203,60015881,60015874
42204,60027520,60028039
42205,60031911,60031915
42206,60029589,60033589
42207,60034448,60034449
42209,60034410,60045446
42210,60037647,60046489
42211,60075798,60075810
42212,60075830,60075982
42214,60008637,60025183
42215,60031812,60034670
42216,60070772,60072431
42217,60062463,60072574
42219,60032058,60033370
42220,60027964,60036212
42223,60021559,60021561
42224,60060059,60063570
42225,60052457,60064361
42226,60071772,60075088
42227,60062200,60062683
42228,60024430,60028559
42229,60028640,60028652
42230,60054596,60054597
42231,60063253,60065262
42236,60043783,60044015
42239,60029075,60031555
42240,60037741,60044509
42241,60055934,60072126
42242,60027519,60027526
42243,60041907,60043788
42244,60038806,60047978
42245,60066712,60066714
42246,60028158,60027976
42247,60041231,60041345
42248,60050706,60051990
42249,60026627,60053561
42250,60048196,60064108
42251,60060059,60064381
42254,60038868,60043891
42255,60042179,60047476
42256,60023547,60067937
42257,60055934,60074237
42258,60069086,60074982
42259,60076109,60075146
42263,60054464,60054466
42264,60059396,60073015
42265,60040182,60047196
42266,60055308,60059739
42267,60040663,60061985
42268,60037766,60065544
42269,60045837,60074732
42271,60027604,60036011
42272,60025554,60051769
42273,60039263,60039289
42274,60038290,60054275
42275,60031069,60071149
42277,60051812,60051822
42278,60037571,60063648
42283,60028707,60037903
42284,60039270,60065898
42285,60041775,60069224
42286,60033277,60033285
42287,60031631,60043510
42288,60003412,60067289
42289,60063975,60069618
42290,60031437,60031438
42292,60032524,60036119
42294,60029985,60032512
42295,60071585,60071415
42298,60024590,60025180
42299,60044049,60044127
42300,60047313,60050920
42301,60055306,60058200
42302,60068780,60069811
42303,60067498,60070133
42304,60055497,60072116
42305,60015610,60024686
42306,60025081,60025276
42307,60025416,60025859
42308,60040300,60040309
42309,60028382,60032418
42310,60037505,60039891
42311,60038294,60046092
42312,60047604,60048146
42313,60052750,60054648
42314,60048196,60064140
42315,60061965,60064733
42316,60056246,60068761
42317,60068778,60069858
42319,60022590,60023427
42320,60048276,60062038
42321,60075197,60075552
42324,60031799,60038017
42325,60038352,60048056
42326,60045107,60051353
42328,60020362,60035025
42329,60041562,60041597
42330,60048205,60048212
42331,60063522,60073782
42332,60044353,60051031
42333,60057832,60057840
42334,60069291,60071051
42335,60066864,60073109
42337,60026821,60026897
42338,60047357,60058589
42339,60040137,60061152
42340,60041387,60047934
42342,60025050,60025345
42343,60026999,60029055
42344,60038392,60039386
42345,60060168,60060416
42346,60057288,60060796
42347,60062472,60062485
42348,60054635,60066855
42349,60030886,60032657
42350,60024430,60040172
42351,60022764,60055703
42353,60018747,60018764
42354,60021925,60022330
42355,60027583,60031757
42356,60050280,60052515
42359,60027674,60027679
42360,60038347,60041173
42361,60038771,60043701
42362,60041290,60044333
42363,60044743,60044745
42364,60056934,60057705
42365,60056950,60058345
42366,60066162,60067047
42367,60024877,60024881
42368,60047720,60050959
42369,60055383,60055392
42370,60037686,60075557
42372,60026650,60032070
42373,60037552,60037557
42374,60039704,60042706
42375,60042833,60046340
42376,60055935,60072938
42378,60022025,60022059
42380,60020840,60026155
42381,60037574,60037963
42382,60045415,60045424
42383,60053260,60053269
42384,60033843,60034830
42385,60047430,60047501
42386,60072478,60072479
42388,60028838,60034197
42389,60028822,60036570
42390,60052100,60054995
42391,60060059,60060061
42392,60059363,60066902
42393,60021524,60021531
42394,60037813,60038571
42395,60043526,60043584
42396,60048856,60049207
42397,60061025,60065531
42398,60067518,60068858
42399,60069291,60071046
42400,60008437,60019347
42401,60040261,60043562
42402,60041508,60046676
42403,60027762,60061963
42404,60040114,60066201
42407,60046218,60048748
42408,60055140,60055141
42409,60058733,60069561
42410,60070966,60071812
42411,60019805,60033937
42412,60032455,60034651
42413,60040327,60047430
42414,60051276,60051301
42415,60015005,60018698
42417,60026192,60026696
42418,60056368,60056789
42419,60055453,60058693
42420,60054562,60061104
42421,60023289,60023314
42422,60026191,60026525
42423,60029796,60031558
42425,60033277,60035617
42426,60038046,60039477
42427,60058547,60061846
42428,60061036,60061960
42429,60058035,60063350
42430,60070966,60070927
42431,60055930,60072665
42432,60021694,60026390
42433,60033561,60066236
42437,60065634,60065796
42438,60067208,60068834
42439,60075531,60074645
42441,60042293,60042632
42442,60039827,60045276
42443,60056123,60056134
42444,60056364,60056703
42445,60057103,60060574
42446,60054562,60060925
42447,60005141,60014408
42449,60024845,60042276
42450,60038668,60049495
42451,60050050,60050208
42452,60048953,60065484
42453,60069626,60070073
42454,60037522,60037523
42456,60052330,60054669
42457,60022528,60026245
42458,60026601,60042888
42459,60060664,60060688
42460,60062463,60062476
42463,60018639,60020257
42464,60005410,60027200
42465,60026876,60035278
42467,60057792,60060360
42468,60054187,60063671
42470,60022832,60022908
42471,60022140,60024808
42472,60031169,60031168
42473,60033334,60037611
42476,60038189,60050138
42477,60019105,60051068
42480,60031012,60054550
42481,60068162,60068169
42482,60074694,60075756
42484,60021127,60021153
42485,60021234,60027379
42486,60032046,60032976
42487,60039197,60039257
42488,60021309,60062586
42489,60056770,60068016
42490,60046875,60048468
42491,60064278,60064312
42493,60013391,60015891
42494,60038838,60038845
42495,60052036,60055644
42496,60072484,60073638
42498,60058502,60058505
42499,60071798,60073420
42503,60021455,60025227
42504,60040750,60043862
42505,60031203,60044452
42509,60022022,60023092
42510,60031953,60031986
42511,60026707,60035963
42512,60035025,60044312
42514,60066517,60009276
42515,60031947,60036489
42516,60015249,60037674
42520,60038392,60045561
42521,60031443,60056120
42523,60021643,60027044
42524,60027003,60035936
42525,60030398,60038739
42527,60015415,60020147
42529,60015808,60033728
42530,60037552,60039957
42533,60047386,60051616
42535,60020305,60020310
42536,60027356,60026653
42537,60031424,60040603
42538,60026639,60043734
42540,60015849,60017089
42542,60023744,60025626
42545,60055095,60055456
42546,60058578,60066882
42548,60025509,60026137
42549,60075908,60075909
42552,60037789,60049269
42553,60057258,60057260
42554,60064292,60064628
42555,60026955,60027181
42556,60051806,60052631
42557,60011246,60066920
42558,60070513,60069891
42559,60005358,60005359
42560,60034449,60038649
42561,60051035,60051045
42562,60068609,60071987
42564,60030167,60031002
42565,60032684,60032690
42566,60060664,60070161
42568,60029575,60029960
42569,60034783,60034784
42570,60033540,60043338
42572,60032906,60049353
42573,60052201,60052312
42574,60067043,60069399
42575,60024145,60069690
42577,60009016,60010932
42578,60046641,60047946
42579,60051159,60067628
42580,60066968,60068582
42582,60039036,60039093
42583,60036821,60040181
42584,60059310,60063511
42585,60071320,60075323
42587,60028016,60030594
42588,60048953,60062444
42589,60054127,60069515
42590,60031245,60034610
42591,60039196,60041114
42592,60041312,60043308
42593,60054169,60054174
42594,60058298,60058320
42595,60041981,60060987
42599,60038402,60039702
42600,60051314,60062053
42602,60041748,60043810
42603,60029711,60029713
42604,60047909,60051516
42605,60045135,60053484
42606,60038345,60065901
42607,60022658,60022750
42608,60036552,60036554
42609,60027069,60044205
42610,60049478,60049678
42611,60053361,60053364
42612,60057258,60061551
42613,60064979,60070742
42614,60000756,60004414
42616,60058011,60067309
42620,60058788,60069685
42627,60031402,60032158
42628,60030209,60040292
42631,60026640,60048896
42632,60049762,60051373
42633,60056664,60073452
42634,60042191,60048240
42638,60039649,60044226
42639,60057792,60060362
42640,60058578,60061684
42643,60024666,60024682
42644,60044369,60044564
42645,60045868,60045869
42646,60068771,60068773
42649,60026111,60026332
42650,60017847,60053313
42651,60074092,60072583
42654,60024647,60036417
42655,60051264,60052609
42658,60040137,60056690
42659,60058376,60060545
42660,60025503,60026093
42661,60028659,60030065
42662,60038191,60051422
42663,60057045,60059548
42664,60052695,60064401
42667,60023614,60023691
42668,60037598,60048726
42669,60028639,60066780
42670,60057194,60067597
42671,60067030,60068462
42672,60036215,60036242
42673,60054364,60055436
42674,60057051,60063514
42676,60069241,60069619
42677,60016557,60016578
42678,60061689,60064785
42679,60072592,60072515
42682,60021884,60022388
42683,60006894,60050314
42684,60057519,60064041
42685,60069341,60071461
42686,60039629,60042698
42687,60046148,60048526
42688,60054177,60055661
42689,60057492,60068967
42692,60026504,60028365
42693,60039620,60039643
42695,60052504,60052512
42698,60042512,60047773
42702,60020956,60024173
42703,60012256,60026776
42704,60056830,60062971
42706,60028332,60028978
42707,60031873,60031892
42708,60038960,60039883
42709,60050587,60051898
42710,60057796,60058177
42711,60028061,60032016
42712,60023055,60025169
42713,60035031,60038411
42714,60043062,60046951
42715,60019805,60047576
42716,60026639,60052701
42717,60071955,60072026
42718,60013141,60052862
42719,60056124,60058296
42720,60025704,60065624
42721,60061343,60070732
42722,60037894,60047383
42723,60056177,60056178
42724,60057375,60063171
42725,60058732,60063657
42726,60053284,60064347
42727,60068970,60071723
42728,60052018,60052211
42730,60041935,60041940
42732,60048869,60051351
42733,60071460,60073149
42734,60035538,60041503
42736,60024315,60025507
42737,60049375,60051498
42740,60028301,60028973
42741,60059553,60059788
42742,60062472,60062862
42743,60068708,60069688
42744,60058138,60071651
42746,60027939,60027944
42748,60026513,60046564
42749,60021309,60064882
42752,60036823,60036988
42753,60068818,60069138
42754,60055934,60072127
42755,60019326,60022115
42756,60031482,60031483
42757,60054465,60061777
42758,60067287,60067369
42760,60008508,60010609
42761,60014027,60018601
42762,60032249,60032250
42763,60034632,60061335
42766,60032344,60045327
42767,60038914,60047565
42768,60016434,60019805
42769,60032973,60042827
42770,60059353,60059357
42771,60054297,60054334
42772,60069994,60071742
42775,60051110,60051238
42776,60057593,60062669
42777,60003777,60008315
42778,60036144,60047128
42779,60008358,60014063
42781,60046678,60050436
42786,60024428,60024455
42787,60024075,60040010
42788,60058946,60058948
42789,60018774,60019395
42790,60016946,60027012
42791,60028014,60030907
42792,60033700,60036551
42793,60071984,60073240
42795,60018465,60019592
42796,60027432,60028037
42797,60028164,60030116
42798,60049305,60053072
42800,60031342,60032112
42801,60051111,60052348
42802,60076119,60076117
42803,60003838,60003841
42805,60041262,60042372
42806,60057743,60059038
42810,60046463,60049507
42811,60071330,60076140
42813,60024999,60024997
42814,60030631,60030633
42815,60030398,60030995
42816,60031868,60032405
42818,60043824,60050714
42819,60038339,60050987
42820,60066703,60066963
42821,60069045,60070101
42823,60033481,60035319
42824,60022927,60032369
42825,60010180,60048135
42829,60031508,60054265
42830,60042099,60054330
42831,60057288,60060799
42834,60038603,60049097
42835,60058538,60058849
42836,60059490,60059508
42840,60025666,60025901
42841,60022528,60028074
42842,60026707,60035964
42843,60038352,60040824
42844,60060167,60061172
42845,60054723,60065720
42848,60024722,60024740
42849,60039234,60042668
42851,60022764,60044097
42852,60044474,60045259
42853,60058895,60067770
42854,60037686,60073244
42855,60023139,60024520
42857,60059608,60059609
42858,60047904,60069421
42859,60075517,60075520
42862,60023333,60025076
42863,60038914,60055245
42866,60035723,60035787
42867,60047277,60047279
42868,60041505,60043880
42869,60057829,60057830
42870,60067671,60067788
42871,60071247,60074564
42873,60029232,60034098
42874,60033921,60042437
42875,60041994,60046556
42876,60054978,60060560
42877,60072642,60073684
42879,60023122,60024733
42880,60039591,60040650
42882,60024176,60025238
42883,60026225,60030118
42884,60042053,60043110
42885,60041645,60055537
42886,60053791,60058697
42890,60025432,60029092
42891,60031889,60036294
42892,60035209,60064668
42893,60066814,60068296
42894,60075321,60074487
42896,60010264,60010267
42897,60042243,60047072
42898,60044548,60048034
42899,60053773,60055121
42901,60013179,60015051
42902,60025081,60027212
42903,60030895,60032482
42904,60044548,60042964
42905,60056332,60059223
42906,60027563,60027569
42907,60049621,60051198
42908,60016132,60016619
42909,60027673,60027680
42910,60049416,60049491
42911,60050149,60052790
42912,60057846,60058119
42914,60037481,60040065
42916,60073050,60074460
42918,60029783,60029784
42920,60041599,60046516
42924,60027703,60028591
42925,60058023,60058025
42926,60041748,60043225
42927,60045289,60064205
42929,60073318,60074518
42932,60021572,60026471
42933,60027253,60027414
42934,60029789,60031512
42935,60027582,60036589
42936,60037231,60037253
42937,60041504,60043568
42938,60036065,60050666
42939,60057769,60073022
42940,60034092,60033960
42941,60026023,60074718
42942,60038366,60047495
42945,60019373,60020169
42946,60057635,60058934
42950,60016088,60021768
42951,60028609,60031449
42952,60022199,60033803
42953,60070966,60071560
42954,60025554,60026505
42955,60027292,60027919
42956,60028093,60031773
42957,60028650,60039860
42959,60023333,60026274
42960,60027493,60028097
42961,60027838,60029947
42963,60047451,60050293
42964,60021507,60023842
42965,60045056,60045272
42966,60053972,60058129
42970,60019052,60020634
42971,60025495,60027303
42972,60047938,60052857
42973,60034060,60063603
42974,60068118,60068122
42976,60021125,60022450
42977,60040942,60040953
42978,60067393,60068105
42979,60016556,60017766
42981,60026167,60026173
42982,60046860,60051873
42983,60067545,60068171
42987,60027577,60027579
42989,60032927,60035674
42990,60020911,60051699
42991,60051347,60052172
42992,60037715,60053519
42993,60054549,60054976
42994,60055611,60055620
42995,60072209,60073000
42996,60057241,60057444
42997,60044660,60047614
42998,60053635,60053665
42999,60070610,60070607
43000,60075743,60075744
43001,60019755,60025083
43002,60031208,60031250
43003,60033277,60034226
43004,60036820,60036878
43005,60034917,60037115
43006,60058450,60065561
43007,60057593,60074302
43008,60044366,60046669
43009,60022432,60023040
43010,60058852,60062542
43012,60042393,60042761
43013,60032997,60042915
43015,60036062,60043627
43016,60056335,60057749
43018,60041762,60045943
43022,60019802,60029839
43023,60028872,60029892
43024,60031338,60043693
43025,60041230,60049885
43026,60038366,60050087
43027,60023744,60024367
43028,60034917,60034918
43029,60074619,60074620
43031,60022695,60025158
43032,60025865,60029883
43033,60031249,60031270
43034,60042878,60050865
43035,60050954,60051547
43036,60056249,60057363
43037,60060234,60068717
43038,60040389,60043939
43039,60055648,60065996
43042,60027957,60030157
43043,60037873,60042404
43044,60052935,60052940
43045,60048407,60055353
43046,60059310,60073966
43049,60017780,60032202
43050,60041981,60044457
43051,60072575,60074378
43053,60036830,60036906
43054,60037598,60048725
43055,60028469,60054446
43056,60053449,60055078
43057,60068374,60069600
43063,60040111,60042580
43064,60051808,60051876
43065,60060427,60063513
43067,60016323,60017960
43068,60030706,60030710
43069,60030777,60032414
43070,60056254,60056256
43071,60032008,60062917
43072,60025982,60026384
43073,60046471,60046481
43076,60024649,60037486
43077,60039193,60046141
43078,60055933,60072895
43079,60030147,60041361
43080,60059519,60059693
43081,60041330,60068012
43082,60069612,60069758
43083,60069078,60073236
43086,60049459,60049571
43087,60031417,60052192
43088,60057050,60058598
43092,60024678,60041464
43093,60027582,60051701
43094,60057646,60061891
43095,60055932,60061976
43097,60033130,60035769
43098,60043409,60055156
43099,60027388,60059996
43102,60072145,60073227
43103,60028179,60049071
43104,60071588,60070803
43105,60038130,60038131
43106,60039981,60064560
43107,60056728,60067748
43108,60015153,60018415
43110,60025051,60025294
43111,60025333,60025361
43112,60021935,60026116
43113,60058376,60063699
43114,60068708,60070206
43116,60059174,60063341
43117,60034217,60064487
43118,60041981,60071417
43121,60039197,60039261
43122,60023050,60024846
43123,60011375,60025430
43124,60039130,60039229
43125,60040986,60046019
43126,60053449,60055076
43128,60041020,60052914
43129,60031063,60031065
43130,60045459,60045957
43131,60046693,60050579
43132,60053252,60053729
43133,60068600,60070925
43134,60070548,60032325
43135,60033979,60043883
43136,60052188,60052802
43137,60038668,60055686
43138,60038622,60039537
43139,60048429,60052403
43140,60038603,60063563
43141,60029951,60033354
43142,60033556,60033557
43143,60032275,60039350
43144,60073201,60072740
43145,60023038,60024787
43146,60008447,60048749
43147,60052670,60053874
43150,60031757,60037149
43151,60052986,60058241
43152,60059075,60059076
43154,60058929,60069975
43157,60022242,60022243
43158,60030791,60030841
43159,60037766,60037779
43160,60038604,60038605
43161,60037913,60039047
43162,60048342,60048364
43163,60049856,60061850
43165,60034178,60034768
43166,60035006,60035026
43167,60047430,60047496
43168,60037915,60056770
43169,60057742,60062273
43170,60059295,60062879
43171,60056108,60065490
43172,60067424,60068720
43173,60037996,60044353
43174,60027582,60054122
43175,60054870,60055134
43176,60057803,60058326
43177,60058956,60062993
43179,60038836,60045595
43180,60031212,60049395
43181,60048398,60053499
43183,60016773,60016783
43184,60031148,60037907
43185,60032973,60040961
43186,60052425,60054379
43187,60059490,60059505
43188,60058730,60068081
43189,60019714,60019782
43190,60035929,60036046
43191,60070859,60071521
43194,60026624,60027870
43195,60056832,60058913
43196,60028822,60036577
43197,60037761,60038949
43198,60031188,60047453
43199,60054726,60056223
43200,60051044,60057480
43201,60056981,60058062
43202,60055392,60063722
43203,60059952,60068415
43204,60073799,60073812
43206,60016829,60024328
43207,60023774,60024378
43208,60023160,60025114
43209,60055956,60062217
43210,60062326,60062968
43212,60025926,60026422
43213,60029491,60030376
43214,60056824,60056825
