,Policy No,Count_Policy
55562,80055444,
55563,80055678,
55564,80055961,
55565,80056293,
55566,80056332,
55567,80056378,
55568,80056389,
55569,80056430,
55570,80056456,
55571,80056539,
55572,80056891,
55573,80056903,
55574,80056904,
55575,80056968,
55576,80057446,
55577,80058035,
55578,80058818,
55579,80059381,
55580,80059464,
55581,80059609,
55582,80059823,
55583,80060840,
55584,80061141,
55585,80061318,
55586,80062252,
55587,80062303,
55588,80062964,
55589,80063506,
55590,80063510,
55591,80063554,
55592,80063555,
55593,80063567,
55594,80064015,
55595,80065649,
55596,80065757,
55597,80065762,
55598,80065773,
55599,80066359,
55600,80066364,
55601,80066384,
55602,80066871,
55603,80068182,
55604,80068879,
55605,80079799,
55606,80051880,
55607,80051899,
55608,80053351,
55609,80051169,
55610,80051143,
55611,80051730,
55612,80051741,
55613,80051803,
55614,80051814,
55615,80052269,0.0
55616,80052270,0.0
55617,80052304,
55618,80052376,
55619,80052611,
55620,80052986,
55621,80053636,0.0
55622,80053772,
55623,80053837,
55624,80055287,
55625,80055897,0.0
55626,80055902,0.0
55627,80055966,
55628,80056006,
55629,80056007,
55630,80056019,
55631,80056075,
55632,80056861,
55633,80057196,
55634,80057874,
55635,80058394,
55636,80058642,
55637,80058709,
55638,80059301,
55639,80060603,
55640,80062246,
55641,80066720,
55642,80066725,
55643,80066728,
55644,80107441,
55645,80108903,
55646,80109365,
55647,80030860,
55648,80035774,
55649,80036282,
55650,80039696,
55651,80041522,
55652,80041529,
55653,80041744,
55654,80043271,
55655,80045457,
55656,80048189,
55657,80048204,
55658,80051268,
55659,80051271,
55660,80051390,
55661,80051883,
55662,80051886,
55663,80052503,
55664,80053575,
55665,80054510,
55666,80054512,
55667,80054549,
55668,80054797,
55669,80054892,
55670,80054896,
55671,80066736,
55672,80067405,0.0
55673,80067842,
55674,80068759,
55675,80068761,
55676,80068765,
55677,80068805,
55678,80068908,
55679,80069001,
55680,80069147,
55681,80069179,
55682,80069720,
55683,80072526,
55684,80073753,
55685,80074342,
55686,80074350,
55687,80074649,
55688,80076503,
55689,80076643,
55690,80079070,
55691,80080960,
55692,80081695,0.0
55693,80085082,
55694,80085115,
55695,80085205,
55696,80085287,
55697,80087567,
55698,80087737,
55699,80091138,
55700,80095892,0.0
55701,80098182,
55702,80098206,
55703,80098415,
55704,80098481,
55705,80098482,
55706,80098488,
55707,80098625,
55708,80098641,
55709,80098649,
55710,80100360,
55711,80100489,
55712,80103120,
55713,80105920,
55714,80109020,
55715,80109028,
55716,80110871,
55717,80112842,
55718,80052617,
55719,80054277,0.0
55720,80058078,
55721,80051515,
55722,80052730,
55723,80052894,
55724,80053233,
55725,80053478,
55726,80054557,
55727,80054717,
55728,80055540,
55729,80055621,
55730,80056252,
55731,80056253,
55732,80056528,
55733,80056547,
55734,80057026,
55735,80057339,
55736,80057589,
55737,80057591,
55738,80057599,
55739,80058081,
55740,80058284,
55741,80058826,
55742,80059373,
55743,80059394,
55744,80059483,
55745,80059484,
55746,80059590,
55747,80059779,
55748,80059825,
55749,80060108,
55750,80060866,
55751,80060942,
55752,80060943,
55753,80061108,
55754,80061743,
55755,80062407,
55756,80062967,
55757,80062968,
55758,80063146,
55759,80067946,
55760,80076108,
55761,80076959,
55762,80079883,
55763,80080396,
55764,80103761,
55765,80051014,
55766,80051255,0.0
55767,80051272,0.0
55768,80051400,
55769,80052649,
55770,80052815,
55771,80052953,
55772,80053147,
55773,80054040,
55774,80054287,
55775,80054567,0.0
55776,80055255,
55777,80055389,
55778,80055398,0.0
55779,80055939,
55780,80055946,
55781,80056084,
55782,80056161,
55783,80056229,
55784,80056230,
55785,80056289,
55786,80056329,
55787,80057085,
55788,80057087,
55789,80057097,
55790,80057107,
55791,80057280,
55792,80057303,
55793,80057312,
55794,80057323,
55795,80057447,
55796,80057453,
55797,80057454,
55798,80069162,
55799,80070064,
55800,80070714,
55801,80071540,
55802,80051932,
55803,80052070,
55804,80055682,
55805,80051154,
55806,80053172,0.0
55807,80053664,0.0
55808,80051126,
55809,80051135,
55810,80051140,
55811,80052573,
55812,80052574,
55813,80052578,
55814,80054039,
55815,80054047,
55816,80054049,0.0
55817,80054770,
55818,80055862,
55819,80058400,
55820,80059655,
55821,80060163,
55822,80052571,
55823,80055053,
55824,80055058,
55825,80055688,
55826,80056498,
55827,80060235,
55828,80051179,
55829,80051186,
55830,80051193,
55831,80043570,
55832,80051172,
55833,80051177,
55834,80051218,
55835,80052258,
55836,80052268,
55837,80052280,
55838,80052281,
55839,80053608,
55840,80053610,
55841,80055467,
55842,80055473,
55843,80055481,
55844,80055487,
55845,80055488,
55846,80056038,
55847,80103964,
55848,80054574,
55849,80058435,
55850,80063368,
55851,80055419,
55852,80052421,
55853,80067936,
55854,80050936,
55855,80051864,
55856,80052445,
55857,80056181,
55858,80056241,
55859,80060874,
55860,80051322,
55861,80051325,
55862,80052500,
55863,80052545,
55864,80054577,
55865,80056462,
55866,80080998,
55867,80051391,
55868,80051398,
55869,80056283,
55870,80051205,
55871,80051252,
55872,80052250,
55873,80052278,
55874,80061730,
55875,80052018,
55876,80052736,
55877,80053607,
55878,80057077,
55879,80058767,
55880,80059267,
55881,80027929,
55882,80051850,
55883,80052289,
55884,80053647,
55885,80053675,
55886,80053956,
55887,80053960,0.0
55888,80054605,
55889,80055417,0.0
55890,80055921,
55891,80070931,
55892,80070997,
55893,80071626,0.0
55894,80071828,
55895,80075741,
55896,80075749,
55897,80075764,
55898,80078384,
55899,80078780,
55900,80082615,
55901,80082959,
55902,80084190,
55903,80084207,
55904,80084486,
55905,80084713,
55906,80109061,
55907,80110985,
55908,80114044,
55909,80051296,
55910,80052657,
55911,80053634,
55912,80109650,
55913,80109659,
55914,80052264,
55915,80053380,
55916,80051732,
55917,80053502,
55918,80073183,0.0
55919,80084229,
55920,80103368,
55921,80051215,
55922,80051234,
55923,80052057,
55924,80053251,0.0
55925,80054918,
55926,80055098,
55927,80055760,
55928,80056442,
55929,80051178,
55930,80051331,
55931,80051676,
55932,80051802,
55933,80052407,
55934,80053881,
55935,80051416,
55936,80053063,
55937,80051262,
55938,80052309,
55939,80052834,
55940,80053667,
55941,80054221,
55942,80056423,
55943,80056957,
55944,80058009,
55945,80059001,
55946,80059737,
55947,80064550,
55948,80107652,
55949,80051617,
55950,80053002,
55951,80053278,
55952,80080276,
55953,80112470,
55954,80051620,
55955,80051634,
55956,80054778,
55957,80059237,
55958,80055158,
55959,80059257,
55960,80076148,
55961,80076151,
55962,80076520,
55963,80076629,
55964,80076639,
55965,80077404,
55966,80051485,
55967,80052836,
55968,80054386,
55969,80051506,
55970,80053309,
55971,80054309,
55972,80057389,
55973,80052828,
55974,80053106,
55975,80054743,
55976,80057660,
55977,80057690,
55978,80051867,
55979,80051896,
55980,80053154,
55981,80053476,
55982,80055230,
55983,80065618,
55984,80103702,
55985,80051220,
55986,80051463,
55987,80052539,
55988,80052884,
55989,80052108,
55990,80053421,
55991,80062070,
55992,80051294,
55993,80051542,
55994,80053211,
55995,80053632,
55996,80053644,
55997,80053801,
55998,80054880,
55999,80054886,
56000,80054890,
56001,80054893,
56002,80054999,
56003,80103397,
56004,80057474,
56005,80051739,
56006,80053741,
56007,80054486,
56008,80054592,
56009,80054594,
56010,80054607,
56011,80054839,
56012,80056187,
56013,80057437,
56014,80051494,
56015,80051901,
56016,80052781,
56017,80052785,
56018,80052871,
56019,80053408,
56020,80053876,
56021,80051845,
56022,80051848,
56023,80046055,
56024,80046142,
56025,80046164,
56026,80046365,
56027,80047739,
56028,80048844,
56029,80050843,
56030,80051326,
56031,80052715,
56032,80054179,
56033,80054191,
56034,80054339,
56035,80054836,
56036,80055007,
56037,80055254,
56038,80061267,
56039,80051637,
56040,80055338,0.0
56041,80051258,
56042,80051248,
56043,80051791,
56044,80052320,
56045,80052486,
56046,80052898,
56047,80053243,
56048,80053749,
56049,80054305,
56050,80055442,
56051,80056121,
56052,80056432,
56053,80057906,
56054,80058482,
56055,80059883,
56056,80060726,
56057,80061257,
56058,80061258,
56059,80061461,
56060,80061466,
56061,80063553,
56062,80064545,
56063,80064567,
56064,80066510,
56065,80067401,
56066,80070956,
56067,80070962,
56068,80072034,
56069,80051365,
56070,80052621,
56071,80054616,
56072,80055524,
56073,80056136,
56074,80056967,
56075,80058207,
56076,80060022,
56077,80061746,
56078,80061751,
56079,80062006,
56080,80062009,
56081,80063721,
56082,80063744,
56083,80066357,
56084,80066358,
56085,80066382,
56086,80051889,
56087,80051891,
56088,80053173,
56089,80053403,
56090,80055122,
56091,80052274,
56092,80053242,
56093,80053312,
56094,80053654,
56095,80054412,
56096,80100522,
56097,80051613,
56098,80051337,
56099,80051523,
56100,80051599,
56101,80053215,
56102,80054875,
56103,80069870,
56104,80051625,
56105,80052061,
56106,80052560,
56107,80052561,
56108,80050671,
56109,80051349,
56110,80057904,
56111,80057916,
56112,80057917,
56113,80081779,0.0
56114,80058887,
56115,80052535,
56116,80051603,
56117,80051671,
56118,80051837,
56119,80054338,
56120,80051984,
56121,80052575,
56122,80054922,
56123,80053775,
56124,80055396,
56125,80054351,
56126,80052035,
56127,80052055,
56128,80053167,
56129,80053282,
56130,80053638,
56131,80054745,
56132,80054748,
56133,80054749,
56134,80054761,
56135,80051616,
56136,80051609,
56137,80051554,
56138,80051591,
56139,80051536,
56140,80051241,
56141,80051543,
56142,80052161,
56143,80088709,
56144,80062136,
56145,80062143,
56146,80062880,
56147,80089625,
56148,80051482,
56149,80051657,
56150,80051736,
56151,80051754,
56152,80052128,
56153,80052867,
56154,80053114,
56155,80054163,
56156,80054184,
56157,80054347,
56158,80051648,
56159,80053564,
56160,80053228,
56161,80055241,
56162,80053026,
56163,80055238,
56164,80052735,
56165,80051526,
56166,80051527,
56167,80051530,
56168,80052254,
56169,80053128,
56170,80055462,
56171,80055471,
56172,80056856,
56173,80056859,
56174,80057288,
56175,80057319,
56176,80057752,
56177,80057763,
56178,80058260,
56179,80060908,
56180,80062351,
56181,80062469,
56182,80062500,
56183,80063370,
56184,80065152,
56185,80065829,
56186,80067458,
56187,80068110,
56188,80069484,
56189,80070661,
56190,80072406,
56191,80074333,
56192,80113756,
56193,80113760,
56194,80052118,
56195,80053436,
56196,80051680,
56197,80053268,
56198,80054157,
56199,80056835,
56200,80066757,
56201,80067012,
56202,80055218,
56203,80053130,
56204,80054647,
56205,80051376,
56206,80051280,
56207,80072585,0.0
56208,80102614,
56209,80108607,
56210,80051261,
56211,80051315,
56212,80053401,
56213,80053402,
56214,80051278,
56215,80051852,
56216,80051857,
56217,80053467,
56218,80058822,
56219,80058830,
56220,80058977,
56221,80059362,
56222,80059526,
56223,80059780,
56224,80068358,0.0
56225,80068359,
56226,80101413,
56227,80101493,
56228,80113320,
56229,80113323,
56230,80118847,
56231,80052523,
56232,80053062,
56233,80054715,
56234,80054744,
56235,80054750,
56236,80054768,
56237,80051570,
56238,80052271,
56239,80053241,
56240,80053300,
56241,80056589,
56242,80052311,
56243,80054065,
56244,80058538,
56245,80059501,
56246,80051712,
56247,80052665,
56248,80051709,
56249,80051710,
56250,80054736,
56251,80056388,
56252,80057655,
56253,80074930,
56254,80052479,
56255,80054945,
56256,80051649,
56257,80052882,0.0
56258,80051717,
56259,80057644,
56260,80058125,
56261,80058881,
56262,80051550,
56263,80051402,
56264,80052424,0.0
56265,80054536,
56266,80055601,
56267,80055958,
56268,80057122,
56269,80058228,
56270,80059996,
56271,80051585,
56272,80051774,
56273,80051898,
56274,80052433,
56275,80052646,
56276,80052716,
56277,80054074,
56278,80054142,
56279,80054560,
56280,80055336,0.0
56281,80055346,0.0
56282,80056250,
56283,80056303,
56284,80056520,
56285,80057010,
56286,80057135,
56287,80057363,
56288,80057567,
56289,80058232,
56290,80058438,
56291,80058659,
56292,80058873,
56293,80059002,
56294,80059194,
56295,80060017,
56296,80060431,
56297,80060910,
56298,80062117,
56299,80063716,
56300,80065275,
56301,80065287,
56302,80065558,
56303,80065758,
56304,80066730,
56305,80066766,
56306,80067381,
56307,80068944,
56308,80069173,
56309,80070043,
56310,80072168,
56311,80057118,
56312,80058105,
56313,80058755,
56314,80059131,
56315,80060021,
56316,80061147,
56317,80062568,
56318,80065980,
56319,80069899,
56320,80058107,
56321,80058882,
56322,80059466,
56323,80060867,
56324,80063509,
56325,80067283,
56326,80069711,
56327,80052121,
56328,80054136,
56329,80055823,
56330,80057728,
56331,80116405,
56332,80051744,
56333,80051749,
56334,80051751,
56335,80052245,
56336,80054141,
56337,80057723,
56338,80056374,
56339,80051893,
56340,80052666,0.0
56341,80065785,
56342,80052255,
56343,80053157,
56344,80051380,
56345,80051387,
56346,80051665,
56347,80052244,
56348,80054064,
56349,80055262,
56350,80051406,
56351,80051408,
56352,80052534,
56353,80053341,
56354,80053346,
56355,80053349,0.0
56356,80054358,
56357,80059192,
56358,80062409,
56359,80063532,
56360,80063536,
56361,80066279,
56362,80066577,
56363,80051381,
56364,80053274,
56365,80051375,
56366,80052256,
56367,80053123,
56368,80054639,
56369,80055485,
56370,80056218,
56371,80057612,
56372,80051797,
56373,80051805,
56374,80052868,
56375,80051926,
56376,80051492,
56377,80051502,
56378,80051752,
56379,80051974,
56380,80052151,
56381,80053033,
56382,80053339,
56383,80054403,
56384,80051961,
56385,80052012,
56386,80054855,
56387,80054936,
56388,80054989,
56389,80055044,
56390,80055047,
56391,80055641,
56392,80056222,
56393,80057092,
56394,80057528,
56395,80057646,
56396,80058342,
56397,80061152,
56398,80051660,
56399,80052493,
56400,80063441,
56401,80065787,
56402,80067332,
56403,80070993,
56404,80051750,
56405,80068008,
56406,80051982,
56407,80053582,
56408,80051761,
56409,80051818,
56410,80057465,
56411,80052088,
56412,80053201,
56413,80052707,
56414,80054243,
56415,80052068,
56416,80052491,
56417,80052492,
56418,80090071,
56419,80090101,
56420,80091426,
56421,80049848,
56422,80052133,
56423,80052324,
56424,80052325,0.0
56425,80052379,0.0
56426,80055652,
56427,80055765,
56428,80056023,
56429,80056497,
56430,80058795,0.0
56431,80058803,
56432,80059716,
56433,80059752,
56434,80060182,
56435,80060309,
56436,80063107,
56437,80064563,
56438,80064587,
56439,80068510,
56440,80123298,
56441,80051731,
56442,80053577,0.0
56443,80053957,0.0
56444,80056015,
56445,80056024,
56446,80056595,
56447,80056601,
56448,80058865,
56449,80059511,
56450,80060714,0.0
56451,80061010,
56452,80063995,
56453,80064627,
56454,80065721,
56455,80066219,
56456,80066368,
56457,80069932,
56458,80069937,
56459,80122339,
56460,80054450,
56461,80054455,
56462,80055807,0.0
56463,80059195,
56464,80060407,
56465,80061400,
56466,80065886,
56467,80080317,
56468,80052242,
56469,80052378,
56470,80052816,
56471,80052827,
56472,80052837,
56473,80053283,
56474,80053611,0.0
56475,80055248,
56476,80055261,
56477,80055281,
56478,80055924,
56479,80055949,
56480,80056059,
56481,80056716,
56482,80057047,
56483,80059293,
56484,80060473,
56485,80060704,
56486,80063614,
56487,80067623,
56488,80068077,
56489,80068637,
56490,80075362,
56491,80075621,
56492,80075788,
56493,80075805,
56494,80083095,
56495,80095246,
56496,80106197,
56497,80110974,
56498,80114727,
56499,80125255,
56500,80125990,
56501,80051806,
56502,80051813,
56503,80053291,0.0
56504,80053352,
56505,80054614,
56506,80054617,
56507,80054621,
56508,80056512,
56509,80056519,
56510,80052699,
56511,80052703,
56512,80054254,
56513,80054267,
56514,80054731,
56515,80055751,0.0
56516,80052509,
56517,80053389,
56518,80055586,
56519,80052291,
56520,80052292,
56521,80056056,
56522,80051914,
56523,80053020,
56524,80063487,
56525,80051787,
56526,80051829,
56527,80051832,
56528,80052090,
56529,80052249,
56530,80052733,
56531,80054012,
56532,80054036,
56533,80054110,
56534,80054620,
56535,80055269,
56536,80055539,
56537,80055541,
56538,80055972,
56539,80056202,
56540,80056592,
56541,80056600,
56542,80056707,
56543,80056976,
56544,80057501,
56545,80057883,
56546,80057918,
56547,80058089,
56548,80058094,
56549,80058095,
56550,80058100,
56551,80058355,
56552,80058696,
56553,80058700,
56554,80058702,
56555,80058705,
56556,80059894,
56557,80060141,
56558,80063071,
56559,80063185,
56560,80064755,
56561,80064756,
56562,80064939,
56563,80067992,
56564,80069519,
56565,80069535,
56566,80069836,0.0
56567,80070000,
56568,80070533,
56569,80072000,
56570,80073462,
56571,80073474,
56572,80073589,
56573,80073591,
56574,80073871,
56575,80074029,
56576,80074938,
56577,80075081,
56578,80075302,
56579,80076227,
56580,80076228,
56581,80076542,
56582,80076552,
56583,80077278,
56584,80078428,
56585,80079320,
56586,80081082,
56587,80081110,
56588,80111060,
56589,80122821,
56590,80122822,
56591,80122823,
56592,80051882,
56593,80051929,
56594,80052212,
56595,80052223,
56596,80052298,
56597,80054251,
56598,80054588,
56599,80056014,
56600,80058193,
56601,80052156,
56602,80052217,
56603,80052895,
56604,80059243,
56605,80052584,
56606,80052933,
56607,80051988,
56608,80053246,
56609,80118012,
56610,80052748,
56611,80060926,
56612,80060933,
56613,80054014,
56614,80052997,
56615,80054034,0.0
56616,80054070,
56617,80054073,
56618,80054344,
56619,80054528,
56620,80054558,
56621,80055237,
56622,80055242,
56623,80055279,0.0
56624,80055294,
56625,80055565,
56626,80055909,
56627,80056071,
56628,80056741,
56629,80056767,
56630,80057362,
56631,80057484,
56632,80060069,
56633,80060383,
56634,80060813,
56635,80065097,
56636,80067909,0.0
56637,80073666,0.0
56638,80073706,0.0
56639,80073934,
56640,80051938,
56641,80053449,
56642,80051854,
56643,80052327,
56644,80051839,
56645,80054484,
56646,80054488,
56647,80051841,
56648,80050144,
56649,80051840,
56650,80051907,
56651,80052758,
56652,80094167,
56653,80051908,
56654,80055094,
56655,80057732,
56656,80059367,
56657,80059692,
56658,80062852,
56659,80077858,
56660,80053126,
56661,80055814,
56662,80062927,
56663,80052238,
56664,80052153,
56665,80053299,
56666,80056370,
56667,80060492,
56668,80052243,
56669,80053028,
56670,80052139,
56671,80052824,
56672,80052962,
56673,80053890,
56674,80053891,
56675,80053988,
56676,80053990,
56677,80053997,
56678,80053999,
56679,80055896,
56680,80057018,
56681,80057020,
56682,80057028,
56683,80052234,
56684,80052444,
56685,80054889,
56686,80056950,
56687,80063686,
56688,80052620,0.0
56689,80053156,
56690,80054158,
56691,80054159,
56692,80054371,
56693,80054785,
56694,80054903,
56695,80055189,
56696,80055403,
56697,80055625,
56698,80055749,
56699,80055963,
56700,80056204,
56701,80056342,
56702,80056406,
56703,80056438,
56704,80056446,
56705,80056460,
56706,80057329,
56707,80057366,
56708,80057369,
56709,80057558,
56710,80058157,
56711,80058185,
56712,80058364,
56713,80058556,
56714,80059031,
56715,80059096,
56716,80059112,
56717,80059879,
56718,80060012,
56719,80060038,
56720,80060368,
56721,80060847,
56722,80061092,
56723,80061145,
56724,80061148,
56725,80061573,
56726,80062969,
56727,80063215,
56728,80063258,
56729,80063511,
56730,80066385,
56731,80068172,
56732,80069297,
56733,80069409,
56734,80070033,
56735,80070036,
56736,80070077,
56737,80070954,
56738,80071184,
56739,80071435,
56740,80071800,
56741,80074005,
56742,80077489,
56743,80079243,
56744,80080464,
56745,80053169,
56746,80054547,
56747,80056069,
56748,80057275,
56749,80052349,
56750,80052353,
56751,80053508,
56752,80055905,
56753,80059384,
56754,80064053,
56755,80066381,
56756,80109436,
56757,80053230,
56758,80054517,
56759,80052372,
56760,80059696,
56761,80059967,
56762,80086848,0.0
56763,80088399,
56764,80115969,
56765,80124709,
56766,80125522,
56767,80128484,
56768,80053061,
56769,80053129,
56770,80052422,
56771,80052480,
56772,80052482,
56773,80052907,
56774,80052910,
56775,80053048,
56776,80053055,
56777,80054122,
56778,80054281,
56779,80054300,
56780,80055728,
56781,80055729,
56782,80059232,
56783,80053495,
56784,80055827,
56785,80056941,
56786,80056997,
56787,80057808,
56788,80065192,
56789,80053394,
56790,80055822,
56791,80057737,
56792,80052959,
56793,80053245,
56794,80052423,
56795,80053189,
56796,80054010,
56797,80054067,
56798,80059651,
56799,80060971,
56800,80064898,
56801,80078723,
56802,80056862,
56803,80061517,
56804,80067972,
56805,80089106,
56806,80129127,
56807,80129559,
56808,80068351,0.0
56809,80052731,
56810,80056384,
56811,80056443,
56812,80053456,
56813,80056385,
56814,80053100,
56815,80054368,
56816,80054746,
56817,80055102,0.0
56818,80055891,0.0
56819,80055898,0.0
56820,80055899,0.0
56821,80060621,
56822,80060623,
56823,80061206,
56824,80061498,
56825,80063214,
56826,80063216,
56827,80065576,
56828,80066648,
56829,80066650,
56830,80066653,
56831,80066655,
56832,80066660,
56833,80069965,
56834,80069983,
56835,80072102,
56836,80072919,
56837,80073453,
56838,80073691,
56839,80073873,
56840,80074675,
56841,80075104,
56842,80076965,
56843,80077063,
56844,80078214,
56845,80078221,
56846,80078223,
56847,80078224,
56848,80081156,
56849,80123493,
56850,80052908,
56851,80052918,
56852,80057364,
56853,80058625,
56854,80059615,
56855,80063749,
56856,80064647,
56857,80067679,
56858,80053124,
56859,80052899,
56860,80048624,
56861,80050884,
56862,80051023,
56863,80052932,
56864,80054059,
56865,80054655,
56866,80054656,
56867,80056706,
56868,80069609,
56869,80116736,
56870,80116737,
56871,80052853,
56872,80054603,
56873,80055476,
56874,80052852,
56875,80054938,
56876,80055747,
56877,80052511,
56878,80053864,0.0
56879,80054414,0.0
56880,80052516,
56881,80052521,
56882,80055297,
56883,80071526,
56884,80052996,
56885,80052531,
56886,80052528,
56887,80056583,
56888,80052546,0.0
56889,80053853,
56890,80053913,
56891,80053998,
56892,80054245,
56893,80054340,
56894,80054374,
56895,80054384,
56896,80054435,
56897,80054924,
56898,80054962,
56899,80054968,
56900,80055710,0.0
56901,80056305,
56902,80056312,
56903,80096160,
56904,80096161,
56905,80111725,
56906,80111745,
56907,80054993,
56908,80056291,
56909,80056309,
56910,80056840,
56911,80092058,
56912,80062020,
56913,80054079,
56914,80054379,
56915,80105694,
56916,80054115,
56917,80056232,
56918,80057903,
56919,80058513,
56920,80059355,
56921,80059358,
56922,80054985,
56923,80052619,
56924,80053414,
56925,80053181,
56926,80053980,
56927,80052705,
56928,80052696,
56929,80052972,
56930,80055331,0.0
56931,80055339,0.0
56932,80056261,
56933,80062944,
56934,80062954,
56935,80063374,
56936,80053877,
56937,80059252,
56938,80052530,
56939,80052559,
56940,80055136,
56941,80052526,
56942,80052544,
56943,80052547,0.0
56944,80052813,
56945,80053138,
56946,80053140,
56947,80053661,0.0
56948,80053662,
56949,80053763,
56950,80053765,0.0
56951,80053766,0.0
56952,80054114,
56953,80055700,
56954,80055702,0.0
56955,80056233,
56956,80056906,
56957,80057677,
56958,80057869,
56959,80058403,
56960,80059719,
56961,80061701,
56962,80090053,
56963,80091202,
56964,80091210,
56965,80091658,
56966,80095711,
56967,80095729,
56968,80096399,
56969,80096769,
56970,80097271,
56971,80097332,
56972,80097860,
56973,80098969,0.0
56974,80101325,
56975,80052564,
56976,80054055,
56977,80054056,
56978,80052562,
56979,80052563,
56980,80052642,
56981,80052532,
56982,80056138,
56983,80059690,
56984,80060932,
56985,80068115,
56986,80068173,
56987,80082711,
56988,80099046,
56989,80099573,
56990,80054264,
56991,80025533,
56992,80033260,
56993,80038913,
56994,80053168,
56995,80053217,
56996,80055015,
56997,80052819,
56998,80054416,
56999,80052825,
57000,80054584,
57001,80052821,
57002,80055131,
57003,80054998,
57004,80052950,0.0
57005,80080277,
57006,80090693,
57007,80052789,
57008,80053470,
57009,80052817,
57010,80052818,
57011,80052832,
57012,80053107,
57013,80054294,
57014,80054298,
57015,80056946,
57016,80052830,
57017,80052831,
57018,80053344,
57019,80054365,
57020,80054737,
57021,80054808,
57022,80056948,
57023,80052974,
57024,80054190,
57025,80054367,
57026,80054814,
57027,80056951,
57028,80053643,
57029,80061814,
57030,80067975,
57031,80071375,
57032,80104357,
57033,80108112,
57034,80053087,
57035,80056386,
57036,80053103,
57037,80055816,
57038,80052659,
57039,80052588,
57040,80113680,
57041,80052579,0.0
57042,80052580,
57043,80052583,
57044,80052723,
57045,80053045,
57046,80053066,
57047,80053068,
57048,80053358,0.0
57049,80053384,
57050,80053587,0.0
57051,80053626,
57052,80054168,
57053,80054173,
57054,80054406,
57055,80055392,0.0
57056,80056326,
57057,80056457,
57058,80056513,
57059,80056762,
57060,80056769,
57061,80056826,
57062,80056831,
57063,80056994,
57064,80058587,
57065,80061712,
57066,80052581,
57067,80052594,
57068,80052605,
57069,80053727,
57070,80060797,
57071,80061827,
57072,80090675,
57073,80101162,
57074,80052644,
57075,80053895,
57076,80053952,0.0
57077,80054259,
57078,80053305,
57079,80053328,
57080,80055320,
57081,80055777,
57082,80056692,
57083,80058725,
57084,80104566,
57085,80107415,
57086,80107532,
57087,80108193,
57088,80111124,
57089,80114531,
57090,80119349,
57091,80052549,0.0
57092,80052551,0.0
57093,80052553,0.0
57094,80055447,
57095,80056285,
57096,80057062,
57097,80056459,
57098,80060282,
57099,80053392,
57100,80053395,
57101,80053732,0.0
57102,80054189,
57103,80056560,
57104,80056857,
57105,80056947,
57106,80058808,
57107,80029172,
57108,80029710,
57109,80043061,
57110,80043063,
57111,80043393,
57112,80043493,
57113,80043640,
57114,80044241,0.0
57115,80045540,
57116,80054193,
57117,80055977,
57118,80056225,
57119,80058177,
57120,80058947,
57121,80059334,
57122,80059343,
57123,80059414,
57124,80060061,
57125,80060511,
57126,80063774,
57127,80064609,
57128,80066528,
57129,80066529,
57130,80066601,
57131,80067988,
57132,80074992,
57133,80076694,
57134,80076757,
57135,80077674,
57136,80077813,
57137,80082645,
57138,80082956,
57139,80082960,
57140,80095620,
57141,80004907,
57142,80004908,
57143,80004911,
57144,80006362,
57145,80006364,
57146,80006684,
57147,80007287,
57148,80008040,
57149,80011395,
57150,80011400,
57151,80011446,
57152,80011447,
57153,80011464,
57154,80011847,
57155,80011856,
57156,80012471,
57157,80012778,
57158,80012782,
57159,80014179,
57160,80021256,
57161,80021974,
57162,80022220,
57163,80022359,
57164,80024055,
57165,80030634,0.0
57166,80037731,
57167,80040216,
57168,80052732,
57169,80052734,0.0
57170,80053961,
57171,80054526,
57172,80054555,
57173,80054576,
57174,80054937,
57175,80055568,0.0
57176,80055612,
57177,80055675,
57178,80055773,
57179,80055947,
57180,80055948,
57181,80056184,
57182,80056697,
57183,80056747,
57184,80057479,
57185,80058117,
57186,80058330,
57187,80058382,
57188,80058476,
57189,80058752,
57190,80058758,
57191,80059055,
57192,80059188,
57193,80059213,
57194,80059347,
57195,80060011,
57196,80060020,
57197,80060436,
57198,80061074,
57199,80061745,
57200,80062861,
57201,80062896,
57202,80062980,
57203,80063755,
57204,80066714,
57205,80068950,
57206,80068952,
57207,80069242,
57208,80069246,
57209,80069324,
57210,80069325,
57211,80070018,
57212,80071328,
57213,80071365,
57214,80071764,0.0
57215,80072084,0.0
57216,80073625,
57217,80073680,
57218,80073690,
57219,80073959,
57220,80075275,
57221,80075523,
57222,80077024,
57223,80077029,
57224,80077036,
57225,80079436,
57226,80081087,
57227,80081089,
57228,80081342,
57229,80081344,
57230,80082230,
57231,80082233,
57232,80082456,
57233,80084205,
57234,80084623,
57235,80085761,
57236,80085770,
57237,80085774,
57238,80086405,
57239,80086413,
57240,80099367,
57241,80100090,
57242,80101041,
57243,80104262,
57244,80105893,
57245,80106020,
57246,80107036,
57247,80107395,
57248,80107935,
57249,80108658,
57250,80108659,
57251,80109342,
57252,80109437,
57253,80110248,
57254,80110302,
57255,80111051,
57256,80054688,
57257,80053134,
57258,80054766,
57259,80054644,
57260,80054648,
57261,80053089,
57262,80054847,
57263,80054852,
57264,80054885,
57265,80055550,
57266,80055560,
57267,80055631,
57268,80056470,
57269,80056488,
57270,80056536,
57271,80058615,
57272,80053088,
57273,80053090,
57274,80054887,
57275,80056494,
57276,80052988,
57277,80053025,
57278,80053046,
